,name,path,target,audio-length,time
2649,OAF_wheat_sad.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Sad/OAF_wheat_sad.wav,sad,54126,2.4546938775510205
1077,YAF_thin_neutral.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_neutral/YAF_thin_neutral.wav,neutral,48659,2.2067573696145124
233,OAF_third_ps.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Pleasant_surprise/OAF_third_ps.wav,surprise,44042,1.9973696145124717
2090,OAF_ring_neutral.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_neutral/OAF_ring_neutral.wav,neutral,48402,2.1951020408163266
2257,OAF_tell_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_tell_disgust.wav,disgust,47655,2.1612244897959183
2291,OAF_shout_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_shout_disgust.wav,disgust,54771,2.4839455782312925
506,OAF_rose_happy.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_happy/OAF_rose_happy.wav,happy,48661,2.2068480725623583
2340,OAF_thought_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_thought_disgust.wav,disgust,49184,2.230566893424036
2296,OAF_nag_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_nag_disgust.wav,disgust,51389,2.3305668934240362
1893,YAF_white_fear.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_fear/YAF_white_fear.wav,fear,38435,1.7430839002267573
2615,OAF_when_sad.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Sad/OAF_when_sad.wav,sad,51732,2.346122448979592
2302,OAF_tape_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_tape_disgust.wav,disgust,52780,2.3936507936507936
1221,OAF_pain_fear.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Fear/OAF_pain_fear.wav,fear,38319,1.7378231292517006
2387,OAF_date_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_date_disgust.wav,disgust,55911,2.535646258503401
591,OAF_vine_happy.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_happy/OAF_vine_happy.wav,happy,41021,1.8603628117913833
90,YAF_join_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_disgust/YAF_join_disgust.wav,disgust,62713,2.844126984126984
2724,OAF_rot_sad.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Sad/OAF_rot_sad.wav,sad,50846,2.3059410430839002
804,YAF_gaze_happy.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_happy/YAF_gaze_happy.wav,happy,48613,2.204671201814059
1008,YAF_rot_neutral.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_neutral/YAF_rot_neutral.wav,neutral,47907,2.17265306122449
786,YAF_gun_sad.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_sad/YAF_gun_sad.wav,sad,50472,2.2889795918367346
225,OAF_bath_ps.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Pleasant_surprise/OAF_bath_ps.wav,surprise,45756,2.0751020408163265
1777,YAF_dodge_ps.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_pleasant_surprised/YAF_dodge_ps.wav,surprise,41794,1.8954195011337869
401,OAF_peg_happy.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_happy/OAF_peg_happy.wav,happy,47711,2.163764172335601
2083,OAF_goose_neutral.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_neutral/OAF_goose_neutral.wav,neutral,49576,2.248344671201814
2654,OAF_lid_sad.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Sad/OAF_lid_sad.wav,sad,55715,2.5267573696145122
1782,YAF_fat_ps.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_pleasant_surprised/YAF_fat_ps.wav,surprise,51906,2.354013605442177
2320,OAF_name_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_name_disgust.wav,disgust,52521,2.381904761904762
1337,OAF_shall_fear.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Fear/OAF_shall_fear.wav,fear,41521,1.8830385487528345
1193,YAF_limb_neutral.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_neutral/YAF_limb_neutral.wav,neutral,43107,1.9549659863945579
1912,YAF_back_fear.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_fear/YAF_back_fear.wav,fear,36412,1.6513378684807256
1283,OAF_tire_fear.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_Fear/OAF_tire_fear.wav,fear,34133,1.5479818594104309
852,YAF_dead_happy.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_happy/YAF_dead_happy.wav,happy,40608,1.8416326530612246
1563,OAF_tool_angry.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_angry/OAF_tool_angry.wav,angry,33279,1.5092517006802721
909,YAF_sheep_happy.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_happy/YAF_sheep_happy.wav,happy,44629,2.0239909297052154
2249,OAF_vote_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_vote_disgust.wav,disgust,54779,2.484308390022676
2258,OAF_check_disgust.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/OAF_disgust/OAF_check_disgust.wav,disgust,53670,2.434013605442177
807,YAF_jar_happy.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_happy/YAF_jar_happy.wav,happy,40540,1.838548752834467
636,YAF_near_sad.wav,/Users/miladshirani/Documents/Flatiron/phase_5/Emotional-Speech-Recognition/Toronto-Data/YAF_sad/YAF_near_sad.wav,sad,49312,2.2363718820861678
